species,lon,lat
Microtus californicus,-122.1304176,37.8721266
Microtus californicus,-122.127884,37.8305356
Microtus californicus,-122.11396,37.8855504
Microtus californicus,-122.0979315,38.0339592
Microtus californicus,-122.09126,38.0211559
Microtus californicus,-122.0911734,38.0378147
Microtus californicus,-122.0866552,37.8785684
Microtus californicus,-122.0686129,38.0338608
Microtus californicus,-122.0604412,37.8717282
Microtus californicus,-121.9577485,37.8358182
Microtus californicus,-121.95134,37.78306
Microtus californicus,-121.93472,37.94111
Microtus californicus,-121.9328333,37.881833
Microtus californicus,-121.9130424,37.8816953
Microtus californicus,-121.8865639,37.76095278
Microtus californicus,-121.7711994,37.81359493
Microtus californicus,-121.7119317,38.0272732
Microtus californicus,-121.695833,37.931944
Microtus californicus,-121.662415,38.07457
Microtus californicus,-123.625462,41.9955479
Microtus californicus,-123.49,43.06
Microtus californicus,-123.41,43.12
Microtus californicus,-123.3222857,43.6637147
Microtus californicus,-123.2775,42.930833
Microtus californicus,-121.00674,38.91503
Microtus californicus,-120.914406,38.688779
Microtus californicus,-120.6350067,38.75449
Microtus californicus,-115.2916667,30.794167
Microtus californicus,-119.4622222,36.6405556
Microtus californicus,-119.4508333,36.6544444
Microtus californicus,-120.381667,36.753611
Microtus californicus,-120.3792,36.7808
Microtus californicus,-120.3791,36.7807
Microtus californicus,-119.8218,36.8838
Microtus californicus,-119.7017,36.8252
Microtus californicus,-119.4641,36.7166
Microtus californicus,-119.122201,36.731601
Microtus californicus,-122.8441182,39.7275109
Microtus californicus,-122.8537664,39.6535097
Microtus californicus,-124.253,40.727683
Microtus californicus,-124.2166667,40.6333333
Microtus californicus,-124.166762,40.814833
Microtus californicus,-124.161389,41.135833
Microtus californicus,-124.1504323,41.0651805
Microtus californicus,-124.149,40.7851
Microtus californicus,-124.142431,40.89274
Microtus californicus,-124.13,40.86
Microtus californicus,-124.1133254,40.9999229
Microtus californicus,-124.1057838,41.0202387
Microtus californicus,-124.100556,40.946389
Microtus californicus,-124.0857767,40.9050023
Microtus californicus,-124.0795,40.8701
Microtus californicus,-124.0780563,40.8759117
Microtus californicus,-124.0666667,40.5333333
Microtus californicus,-124.0638883,40.7615337
Microtus californicus,-124.05,40.53
Microtus californicus,-124,40
Microtus californicus,-123.95,41.45
Microtus californicus,-123.6158322,40.4907074
Microtus californicus,-124,40.01
Microtus californicus,-123.97,40.49
Microtus californicus,-124.36845,40.46708
Microtus californicus,-124.05869,40.53791
Microtus californicus,-123.74929,40.49831
Microtus californicus,-123.62788,40.93965
Microtus californicus,-124.4052299,40.440217
Microtus californicus,-124.3684553,40.4670873
Microtus californicus,-124.286944,40.325278
Microtus californicus,-124.2623,40.60969
Microtus californicus,-124.2623,40.5807
Microtus californicus,-124.140833,40.547222
Microtus californicus,-124.12376,40.6848699
Microtus californicus,-124.1126136,41.2101376
Microtus californicus,-124.1104022,40.4799184
Microtus californicus,-124.1001847,40.4801238
Microtus californicus,-124.0586921,40.5379163
Microtus californicus,-124.0415543,40.5359463
Microtus californicus,-124.0327,40.5216
Microtus californicus,-124.01883,40.84341
Microtus californicus,-123.9383,40.7249
Microtus californicus,-123.9,40.108056
Microtus californicus,-123.88759,40.77914
Microtus californicus,-123.8807184,41.1535776
Microtus californicus,-123.8584651,41.1335554
Microtus californicus,-123.7317033,40.8748542
Microtus californicus,-123.67841,40.84787
Microtus californicus,-123.6278827,40.9396583
Microtus californicus,-123.61833,40.91792
Microtus californicus,-123.59922,41.00487
Microtus californicus,-123.59863,40.99321
Microtus californicus,-118.3957214,37.3652992
Microtus californicus,-118.3088242,37.4049754
Microtus californicus,-118.3000788,37.4058015
Microtus californicus,-118.1985827,36.8023957
Microtus californicus,-118.1318098,36.5959019
Microtus californicus,-118.0666667,36.6
Microtus californicus,-118.0608098,36.6071071
Microtus californicus,-118.05,37.44
Microtus californicus,-118.03,36.31
Microtus californicus,-118.0259184,36.3210737
Microtus californicus,-117.9797509,36.8720953
Microtus californicus,-116.2301092,35.8733644
Microtus californicus,-118.12,36.55
Microtus californicus,-118.57446,37.44568
Microtus californicus,-118.401131,37.454911
Microtus californicus,-118.348767,37.361434
Microtus californicus,-118.34519,37.40065
Microtus californicus,-118.31084,37.40482
Microtus californicus,-118.304884,37.405079
Microtus californicus,-118.29121,37.40766
Microtus californicus,-118.289486,36.78326
Microtus californicus,-118.289486,36.78325
Microtus californicus,-118.26855,36.77547
Microtus californicus,-118.218063,36.871
Microtus californicus,-118.214801,36.826074
Microtus californicus,-118.11231,36.59499
Microtus californicus,-118.10991,36.58926
Microtus californicus,-118.10244,36.5051
Microtus californicus,-118.095156,36.59723
Microtus californicus,-118.08862,37.33035
Microtus californicus,-118.0619,36.6061
Microtus californicus,-118.05676,36.54234
Microtus californicus,-118.03645,36.61906
Microtus californicus,-118.02917,36.27383
Microtus californicus,-118.01979,36.32242
Microtus californicus,-118.01784,36.57739
Microtus californicus,-118.01131,36.57564
Microtus californicus,-118.00818,37.41428
Microtus californicus,-117.92456,36.52875
Microtus californicus,-117.9087515,35.837806
Microtus californicus,-117.90836,35.83788
Microtus californicus,-117.90758,35.93481
Microtus californicus,-117.905733,35.936983
Microtus californicus,-117.84273,36.70146
Microtus californicus,-117.83167,36.69451
Microtus californicus,-117.8316083,36.69512333
Microtus californicus,-117.8274633,36.69592167
Microtus californicus,-117.825149,36.695944
Microtus californicus,-117.759585,36.126805
Microtus californicus,-117.75673,36.1143
Microtus californicus,-116.269453,35.967747
Microtus californicus,-116.235843,35.87852103
Microtus californicus,-116.2341731,35.88486279
Microtus californicus,-116.233091,35.884823
Microtus californicus,-116.2325278,35.85562222
Microtus californicus,-116.226163,35.852719
Microtus californicus,-116.225395,35.848477
Microtus californicus,-122.9435,42.2754
Microtus californicus,-122.7963,42.3267
Microtus californicus,-122.6694,42.1947
Microtus californicus,-122.3342,42.0475
Microtus californicus,-122.8744,42.2397
Microtus californicus,-122.853062,42.436101
Microtus californicus,-122.8495,42.2758
Microtus californicus,-122.6073,42.2222
